opportunity_id,account,product,deal_stage,sales_agent,sector,company_size,revenue_tier,regional_office,lead_score,priority
806KPNNN,Zathunicon,GTX Basic,Engaging,Versie Hillebrand,retail,Medium,Tier 1: < $100M,Central,69.8,Medium Priority
QP0QCP8Y,Dalttechnology,GTX Plus Pro,Engaging,Kary Hendrixson,software,Small,Tier 1: < $100M,West,69.8,Medium Priority
H6I16U57,Sunnamplex,MG Advanced,Engaging,Rosie Papadopoulos,marketing,Enterprise,Tier 3: $500M-$999M,East,69.7,Medium Priority
81MXE1H7,Bioholding,MG Advanced,Engaging,Markita Hansen,medical,Enterprise,Tier 3: $500M-$999M,West,69.5,Medium Priority
WEKW3XIN,Condax,GTX Plus Pro,Engaging,Cassey Cress,medical,Small,Tier 1: < $100M,East,69.5,Medium Priority
MUSSD9WD,Goodsilron,GTX Plus Basic,Engaging,Darcel Schlecht,marketing,Corporate,Tier 5: > $2.5B,Central,69.5,Medium Priority
YM8DBAFV,Sumace,GTX Basic,Engaging,Cassey Cress,retail,Medium,Tier 2: $100M-$499M,East,69.5,Medium Priority
059K86LU,Labdrill,GTX Plus Pro,Engaging,Kami Bicknell,medical,Corporate,Tier 5: > $2.5B,West,69.4,Medium Priority
6CWZFOHJ,Green-Plus,GTX Basic,Prospecting,Anna Snelling,services,Enterprise,Tier 3: $500M-$999M,Central,69.4,Medium Priority
2WDSO6PG,Hatfan,GTX Basic,Engaging,Niesha Huffines,services,Enterprise,Tier 3: $500M-$999M,Central,69.4,Medium Priority
5C59O9GU,Conecom,MG Special,Prospecting,Anna Snelling,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
11T4HX93,Bluth Company,MG Special,Prospecting,Jonathan Berthelot,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
ROM4I2T0,Rundofase,MG Special,Prospecting,Versie Hillebrand,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
BUOI3TBI,Rundofase,MG Special,Prospecting,Gladys Colclough,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
1FLN8BTI,Rundofase,MG Special,Engaging,Darcel Schlecht,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
TLZGG7G5,Conecom,MG Special,Prospecting,Cecily Lampkin,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
KFSKQ291,Plusstrip,MG Advanced,Prospecting,Gladys Colclough,entertainment,Medium,Tier 2: $100M-$499M,Central,69.3,Medium Priority
1BB5LME9,Globex Corporation,MG Special,Prospecting,Marty Freudenburg,technology,Enterprise,Tier 4: $1B-$2.5B,Central,69.3,Medium Priority
4ZQTMS3Z,Kan-code,MG Special,Engaging,Violet Mclelland,software,Corporate,Tier 5: > $2.5B,East,69.2,Medium Priority
F4W7Z1UU,Vehement Capital Partners,MG Special,Prospecting,Anna Snelling,finance,Large,Tier 3: $500M-$999M,Central,69.2,Medium Priority
H176AX96,Gekko & Co,MG Advanced,Engaging,James Ascencio,retail,Enterprise,Tier 5: > $2.5B,West,69.1,Medium Priority
C9330YF1,Blackzim,GTX Basic,Engaging,Markita Hansen,retail,Enterprise,Tier 2: $100M-$499M,West,69.1,Medium Priority
V4XHHFO3,Blackzim,GTX Basic,Engaging,Elease Gluck,retail,Enterprise,Tier 2: $100M-$499M,West,69.1,Medium Priority
QP006VDE,Domzoom,MG Advanced,Engaging,Markita Hansen,entertainment,Large,Tier 2: $100M-$499M,West,69.0,Medium Priority
OHOWVHYX,Zoomit,MG Advanced,Engaging,Rosalina Dieter,entertainment,Large,Tier 2: $100M-$499M,West,69.0,Medium Priority
X8GGF9MG,Dontechi,MG Special,Engaging,Rosalina Dieter,software,Corporate,Tier 5: > $2.5B,West,69.0,Medium Priority
F3EOBN5A,Genco Pura Olive Oil Company,GTX Plus Pro,Engaging,Moses Frase,retail,Enterprise,Tier 3: $500M-$999M,Central,69.0,Medium Priority
OLGT0VHP,Statholdings,GTX Plus Pro,Engaging,James Ascencio,employment,Large,Tier 2: $100M-$499M,West,69.0,Medium Priority
LJBQ7P0V,Zotware,MG Special,Engaging,James Ascencio,software,Corporate,Tier 5: > $2.5B,West,69.0,Medium Priority
R9GI5SJ5,Domzoom,MG Advanced,Engaging,Vicki Laflamme,entertainment,Large,Tier 2: $100M-$499M,West,69.0,Medium Priority
5G4I94TF,Statholdings,GTX Plus Pro,Engaging,Kary Hendrixson,employment,Large,Tier 2: $100M-$499M,West,69.0,Medium Priority
7XRWWM0X,Scotfind,MG Special,Engaging,Kami Bicknell,software,Corporate,Tier 5: > $2.5B,West,69.0,Medium Priority
FVGRGJU8,Betatech,MG Advanced,Engaging,Rosie Papadopoulos,medical,Enterprise,Tier 3: $500M-$999M,East,68.9,Medium Priority
EPSIB2JR,Zoomit,MG Special,Engaging,Violet Mclelland,entertainment,Large,Tier 2: $100M-$499M,East,68.9,Medium Priority
22HV3N2W,Rangreen,GTX Plus Basic,Engaging,Niesha Huffines,technology,Corporate,Tier 5: > $2.5B,Central,68.5,Medium Priority
MG1YUTUE,Acme Corporation,MG Special,Engaging,Markita Hansen,technology,Enterprise,Tier 4: $1B-$2.5B,West,68.5,Medium Priority
DZP0MNRM,Konex,GTX Plus Basic,Engaging,Niesha Huffines,technology,Corporate,Tier 5: > $2.5B,Central,68.5,Medium Priority
MON9ZE47,Groovestreet,GTX Basic,Prospecting,Niesha Huffines,retail,Medium,Tier 2: $100M-$499M,Central,68.4,Medium Priority
H3DYTZIQ,Scottech,GTX Plus Basic,Engaging,Cassey Cress,marketing,Medium,Tier 1: < $100M,East,68.4,Medium Priority
0XVL2UMH,Groovestreet,GTX Basic,Prospecting,Jonathan Berthelot,retail,Medium,Tier 2: $100M-$499M,Central,68.4,Medium Priority
ICG3THQK,Sumace,GTX Basic,Engaging,Gladys Colclough,retail,Medium,Tier 2: $100M-$499M,Central,68.4,Medium Priority
TWEVVI99,Scottech,GTX Plus Basic,Engaging,Daniell Hammack,marketing,Medium,Tier 1: < $100M,East,68.4,Medium Priority
VKT0UN11,Codehow,MG Advanced,Engaging,James Ascencio,software,Enterprise,Tier 5: > $2.5B,West,68.4,Medium Priority
G40058T1,Yearin,MG Special,Engaging,Versie Hillebrand,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
AV72Y65Y,Streethex,MG Special,Engaging,Cecily Lampkin,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
Z89NKUC7,Plussunin,MG Special,Prospecting,Anna Snelling,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
Y7244XW7,Plussunin,MG Special,Engaging,Moses Frase,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
2G5ZMOYC,Scottech,GTX Basic,Prospecting,Versie Hillebrand,marketing,Medium,Tier 1: < $100M,Central,68.3,Medium Priority
WJK0O5J9,Doncon,MG Special,Prospecting,Versie Hillebrand,technology,Enterprise,Tier 3: $500M-$999M,Central,68.3,Medium Priority
38K5251H,Fasehatice,GTX Basic,Prospecting,Cecily Lampkin,retail,Corporate,Tier 5: > $2.5B,Central,68.3,Medium Priority
47P0HBNM,Plussunin,MG Special,Prospecting,Anna Snelling,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
JHNDPI2N,J-Texon,MG Special,Prospecting,Anna Snelling,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
CLPDG9BG,Yearin,MG Special,Prospecting,Moses Frase,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
COGXUYLL,Doncon,MG Special,Prospecting,Marty Freudenburg,technology,Enterprise,Tier 3: $500M-$999M,Central,68.3,Medium Priority
D8ZJ6F45,Yearin,MG Special,Prospecting,Gladys Colclough,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
DOP1NORG,Plexzap,MG Special,Prospecting,Gladys Colclough,retail,Enterprise,Tier 4: $1B-$2.5B,Central,68.3,Medium Priority
CVFUMOK9,Rangreen,GTX Plus Pro,Engaging,Corliss Cosme,technology,Corporate,Tier 5: > $2.5B,East,68.3,Medium Priority
NSX4NR40,Bioholding,GTX Plus Pro,Engaging,Anna Snelling,medical,Enterprise,Tier 3: $500M-$999M,Central,68.1,Medium Priority
QELHQ898,Statholdings,GTX Plus Basic,Engaging,Zane Levy,employment,Large,Tier 2: $100M-$499M,West,68.0,Medium Priority
T1SITEI0,Singletechno,MG Special,Engaging,Darcel Schlecht,retail,Corporate,Tier 4: $1B-$2.5B,Central,67.8,Medium Priority
FEFNNXH1,Singletechno,MG Special,Engaging,Anna Snelling,retail,Corporate,Tier 4: $1B-$2.5B,Central,67.8,Medium Priority
RG893DYQ,The New York Inquirer,GTX Basic,Engaging,Markita Hansen,medical,Large,Tier 2: $100M-$499M,West,67.7,Medium Priority
3PVNGGBX,The New York Inquirer,GTX Basic,Engaging,Markita Hansen,medical,Large,Tier 2: $100M-$499M,West,67.7,Medium Priority
33BMGHPN,Opentech,MG Special,Engaging,Gladys Colclough,finance,Large,Tier 2: $100M-$499M,Central,67.7,Medium Priority
KLUS7RVS,Opentech,MG Special,Prospecting,Versie Hillebrand,finance,Large,Tier 2: $100M-$499M,Central,67.7,Medium Priority
7EHJYKWE,Xx-holding,GTX Basic,Engaging,Kary Hendrixson,finance,Corporate,Tier 5: > $2.5B,West,67.6,Medium Priority
9P180HVQ,Zencorporation,GTX Basic,Engaging,Moses Frase,technology,Medium,Tier 1: < $100M,Central,67.5,Medium Priority
XS7L2AQE,Zencorporation,GTX Basic,Prospecting,Moses Frase,technology,Medium,Tier 1: < $100M,Central,67.5,Medium Priority
C54CWZIT,Zencorporation,GTX Basic,Prospecting,Jonathan Berthelot,technology,Medium,Tier 1: < $100M,Central,67.5,Medium Priority
5VYJCJAE,Zoomit,GTX Plus Pro,Engaging,Corliss Cosme,entertainment,Large,Tier 2: $100M-$499M,East,67.3,Medium Priority
LORMJLTE,Konmatfix,GTX Plus Basic,Engaging,Lajuana Vencill,marketing,Enterprise,Tier 2: $100M-$499M,Central,67.1,Medium Priority
FHPRER2D,Sonron,MG Special,Engaging,Versie Hillebrand,telecommunications,Corporate,Tier 4: $1B-$2.5B,Central,67.0,Medium Priority
ZVO432VF,Faxquote,MG Special,Prospecting,Marty Freudenburg,telecommunications,Corporate,Tier 4: $1B-$2.5B,Central,67.0,Medium Priority
UDAUS3DF,Sonron,MG Special,Prospecting,Anna Snelling,telecommunications,Corporate,Tier 4: $1B-$2.5B,Central,67.0,Medium Priority
AY3KTIXX,Cheers,GTX Plus Pro,Engaging,James Ascencio,entertainment,Corporate,Tier 5: > $2.5B,West,66.8,Medium Priority
EVXPG3V5,The New York Inquirer,GTX Basic,Engaging,Lajuana Vencill,medical,Large,Tier 2: $100M-$499M,Central,66.8,Medium Priority
YB4YJTK4,Lexiqvolax,GTX Basic,Engaging,Kami Bicknell,medical,Enterprise,Tier 4: $1B-$2.5B,West,66.7,Medium Priority
UIX6X6R3,Umbrella Corporation,MG Advanced,Engaging,Zane Levy,finance,Corporate,Tier 4: $1B-$2.5B,West,66.7,Medium Priority
T4FQOS6J,Opentech,GTX Plus Basic,Engaging,Maureen Marcano,finance,Large,Tier 2: $100M-$499M,West,66.5,Medium Priority
6OD1J7MW,Plexzap,GTX Plus Pro,Engaging,Elease Gluck,retail,Enterprise,Tier 4: $1B-$2.5B,West,66.5,Medium Priority
Q65B52C5,Kan-code,GTX Basic,Engaging,Niesha Huffines,software,Corporate,Tier 5: > $2.5B,Central,66.4,Medium Priority
NX2EICNQ,Kan-code,GTX Basic,Engaging,Versie Hillebrand,software,Corporate,Tier 5: > $2.5B,Central,66.4,Medium Priority
WE2CEE8A,Dontechi,GTX Basic,Prospecting,Jonathan Berthelot,software,Corporate,Tier 5: > $2.5B,Central,66.4,Medium Priority
Y3TOQUQI,Zotware,GTX Basic,Engaging,Marty Freudenburg,software,Corporate,Tier 5: > $2.5B,Central,66.4,Medium Priority
HHDQ9EW4,Inity,GTX Basic,Engaging,Kami Bicknell,marketing,Corporate,Tier 4: $1B-$2.5B,West,66.3,Medium Priority
NFMCPYOV,Finjob,GTX Basic,Engaging,Rosie Papadopoulos,employment,Enterprise,Tier 4: $1B-$2.5B,East,66.3,Medium Priority
73HO9OZC,Finjob,GTX Basic,Engaging,Cassey Cress,employment,Enterprise,Tier 4: $1B-$2.5B,East,66.3,Medium Priority
L8XNQONA,Inity,GTX Basic,Engaging,Zane Levy,marketing,Corporate,Tier 4: $1B-$2.5B,West,66.3,Medium Priority
HKMMBDMW,Plusstrip,GTX Basic,Prospecting,Moses Frase,entertainment,Medium,Tier 2: $100M-$499M,Central,66.3,Medium Priority
VRYR5A81,Finhigh,GTX Basic,Engaging,Wilburn Farren,finance,Enterprise,Tier 4: $1B-$2.5B,East,66.2,Medium Priority
49SUORYW,Betasoloin,GTX Plus Basic,Engaging,Niesha Huffines,medical,Medium,Tier 2: $100M-$499M,Central,66.2,Medium Priority
QU220OFI,Finhigh,GTX Basic,Engaging,Boris Faz,finance,Enterprise,Tier 4: $1B-$2.5B,East,66.2,Medium Priority
I43F0Z77,Betasoloin,GTX Plus Basic,Prospecting,Marty Freudenburg,medical,Medium,Tier 2: $100M-$499M,Central,66.2,Medium Priority
S2Y2Q1D2,Singletechno,GTX Plus Basic,Engaging,Marty Freudenburg,retail,Corporate,Tier 4: $1B-$2.5B,Central,66.1,Medium Priority
8LA72RM8,Donware,MG Advanced,Engaging,Maureen Marcano,marketing,Enterprise,Tier 4: $1B-$2.5B,West,66.1,Medium Priority
BNY8MJ6L,Labdrill,GTX Basic,Engaging,Kary Hendrixson,medical,Corporate,Tier 5: > $2.5B,West,66.1,Medium Priority
PU62ZGX4,Singletechno,GTX Plus Basic,Engaging,Jonathan Berthelot,retail,Corporate,Tier 4: $1B-$2.5B,Central,66.1,Medium Priority
F761DF0M,Silis,GTX Basic,Engaging,Zane Levy,medical,Corporate,Tier 5: > $2.5B,West,66.1,Medium Priority
JDXSS1HT,Silis,GTX Basic,Engaging,Markita Hansen,medical,Corporate,Tier 5: > $2.5B,West,66.1,Medium Priority
Z99W80UY,Zencorporation,GTX Plus Pro,Prospecting,Niesha Huffines,technology,Medium,Tier 1: < $100M,Central,66.0,Medium Priority
5653N8BM,Zoomit,GTX Plus Basic,Engaging,Rosie Papadopoulos,entertainment,Large,Tier 2: $100M-$499M,East,66.0,Medium Priority
FSNL204U,Hatfan,GTX Plus Pro,Engaging,Marty Freudenburg,services,Enterprise,Tier 3: $500M-$999M,Central,65.9,Medium Priority
FU2PQZR4,Green-Plus,GTX Plus Pro,Prospecting,Darcel Schlecht,services,Enterprise,Tier 3: $500M-$999M,Central,65.9,Medium Priority
9PDR4X2R,Hatfan,GTX Plus Pro,Prospecting,Anna Snelling,services,Enterprise,Tier 3: $500M-$999M,Central,65.9,Medium Priority
WRKPDK7O,Hatfan,GTX Plus Pro,Engaging,Versie Hillebrand,services,Enterprise,Tier 3: $500M-$999M,Central,65.9,Medium Priority
CVMNBKGH,Hatfan,GTX Plus Pro,Prospecting,Darcel Schlecht,services,Enterprise,Tier 3: $500M-$999M,Central,65.9,Medium Priority
5W29OCB8,Bioholding,MG Special,Engaging,Lajuana Vencill,medical,Enterprise,Tier 3: $500M-$999M,Central,65.6,Medium Priority
PR1H7NHK,Mathtouch,MG Special,Engaging,Versie Hillebrand,marketing,Corporate,Tier 5: > $2.5B,Central,65.6,Medium Priority
TIPXNDS2,Betatech,MG Special,Engaging,Gladys Colclough,medical,Enterprise,Tier 3: $500M-$999M,Central,65.6,Medium Priority
7DT8UKKY,Zencorporation,GTX Basic,Engaging,Corliss Cosme,technology,Medium,Tier 1: < $100M,East,65.6,Medium Priority
6WNENPQM,Goodsilron,MG Special,Prospecting,Versie Hillebrand,marketing,Corporate,Tier 5: > $2.5B,Central,65.6,Medium Priority
8NI8O26G,Goodsilron,MG Special,Prospecting,Cecily Lampkin,marketing,Corporate,Tier 5: > $2.5B,Central,65.6,Medium Priority
8I84MV5A,Zencorporation,GTX Basic,Engaging,Cassey Cress,technology,Medium,Tier 1: < $100M,East,65.6,Medium Priority
DS5HZHDA,Betatech,MG Special,Prospecting,Cecily Lampkin,medical,Enterprise,Tier 3: $500M-$999M,Central,65.6,Medium Priority
021Z2J9L,Rundofase,GTK 500,Engaging,Markita Hansen,technology,Enterprise,Tier 4: $1B-$2.5B,West,65.5,Medium Priority
NY7Z4I06,Betasoloin,GTX Plus Pro,Engaging,Kary Hendrixson,medical,Medium,Tier 2: $100M-$499M,West,65.4,Medium Priority
1LHU0876,Labdrill,MG Advanced,Engaging,Elease Gluck,medical,Corporate,Tier 5: > $2.5B,West,65.4,Medium Priority
LZW4N9KF,Zathunicon,GTX Plus Pro,Prospecting,Darcel Schlecht,retail,Medium,Tier 1: < $100M,Central,65.3,Medium Priority
61IKUAZI,Dalttechnology,GTX Plus Basic,Engaging,Rosalina Dieter,software,Small,Tier 1: < $100M,West,65.3,Medium Priority
1XJFMYCW,Golddex,MG Special,Engaging,Anna Snelling,finance,Medium,Tier 1: < $100M,Central,65.3,Medium Priority
49T7VKA7,Plussunin,GTX Plus Pro,Prospecting,Gladys Colclough,retail,Enterprise,Tier 4: $1B-$2.5B,Central,65.3,Medium Priority
W2149WNZ,Golddex,MG Special,Prospecting,Versie Hillebrand,finance,Medium,Tier 1: < $100M,Central,65.3,Medium Priority
NCMT5KK3,Dalttechnology,GTX Basic,Engaging,Vicki Laflamme,software,Small,Tier 1: < $100M,West,65.3,Medium Priority
